features,model,fractal,regime_mode,used_lime,used_online_adapt,used_rfe,rfe_features_selected,mse,rmse,mae,r2,explained_variance,mape
GEX,GARCH,hurst,feature,False,False,False,,70.8938544375359,8.419848836976582,7.572674555575782,-4.314326160123115,-0.015615624488694024,42.32403066140999
GEX,ANN,hurst,feature,False,False,False,,0.0027193385936724462,0.052147277912393916,0.03783216777555749,-0.12140579952513098,-0.0035267613155094413,34.03088694062651
GEX,RNN,hurst,feature,False,False,False,,0.0031270657205838604,0.055920172751734776,0.045609845831258634,-0.2895450543446998,-0.03133153406153277,62.912007414131125
GEX,LSTM,hurst,feature,False,False,False,,0.0028162313501213466,0.05306817643485921,0.03975066631539098,-0.16136261081247927,0.03139796375277715,36.472433863499695
GEX,GRU,hurst,feature,False,False,False,,0.002349758527550727,0.04847430791203446,0.038854729960490844,0.031002300923319126,0.036138793939726854,44.052439407655534
GEX,CNN,hurst,feature,False,False,False,,0.0025715441701902294,0.05071039509006244,0.03754136719299415,-0.0604580661255163,0.01976883370226079,34.289408739810845
GEX,CNN_LSTM,hurst,feature,False,False,False,,0.002444723579421092,0.04944414605816438,0.03701999934802031,-0.008159560040751579,0.0037127242522504433,37.32833410660845
GEX,ARIMA,wavelet,feature,False,False,False,,12.702823412402791,3.564102048539406,2.9374060154091994,-0.021310779236695998,0.16315588651216872,19.21949039288694
GEX,GARCH,wavelet,feature,False,False,False,,66.35858810930222,8.146078081463633,7.332374104463167,-4.335250214120618,-0.01263194414518276,41.34189807175817
GEX,ANN,wavelet,feature,False,False,False,,0.026386870578389107,0.1624403600660535,0.13806289360604435,-10.609260417518927,-2.3511849471322868,165.36994575025642
GEX,RNN,wavelet,feature,False,False,False,,0.006789594291724924,0.08239899448248701,0.07287757067837092,-1.9871737926546733,0.03614208130122332,89.84415407610061
GEX,LSTM,wavelet,feature,False,False,False,,0.004080497618552285,0.063878772832235,0.05510627232579817,-0.7952700888159383,0.21881329140519512,65.32210403959385
GEX,GRU,wavelet,feature,False,False,False,,0.006484469590246235,0.08052620437004487,0.07342669303887475,-1.852930055461187,0.296342899977189,91.21206174359426
GEX,CNN,wavelet,feature,False,False,False,,0.02237752971913019,0.14959120869599987,0.14030929046045967,-8.845296706875017,-0.29106833977028823,168.19330093295633
GEX,CNN_LSTM,wavelet,feature,False,False,False,,0.003995208767874393,0.06320766383813274,0.05236732825572201,-0.7577461059969426,-0.0015603863695368148,60.155389073723164
SKEW,ARIMA,none,feature,False,False,False,,11.513700160040147,3.3931843687073866,2.7544182343067853,0.3794056249896901,0.46991275916712183,17.696373638475936
SKEW,GARCH,none,feature,False,False,False,,83.67996314673759,9.147675286472383,8.049273817180802,-3.5103931584192214,-0.018135148491324138,43.46097916660083
